"SEQPRODUTO";"DESCCOMPLETA";"QUANTIDADE";"DATA";"HORA";"ENTRADASAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,486;01/04/25;"10:54:11";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,52;01/04/25;"10:54:41";"SAIDA"
"145923";"CARNE BOV RSF KG AGULHA";0,66;01/04/25;"10:54:47";"SAIDA"
"145916";"CARNE BOV RSF KG PALETA";0,952;01/04/25;"10:55:27";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,514;01/04/25;"10:56:21";"SAIDA"
"145893";"CARNE BOV RSF KG PATINHO";0,862;01/04/25;"10:56:32";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,572;01/04/25;"10:58:25";"SAIDA"
"145926";"CARNE BOV RSF KG COSTELA JANELA";1,398;01/04/25;"10:58:30";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,514;01/04/25;"10:59:02";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,472;01/04/25;"10:59:02";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,436;01/04/25;"10:59:02";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,492;01/04/25;"10:59:02";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,456;01/04/25;"11:00:06";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,474;01/04/25;"11:00:06";"SAIDA"
"145916";"CARNE BOV RSF KG PALETA";0,874;01/04/25;"11:00:06";"SAIDA"
"145916";"CARNE BOV RSF KG PALETA";0,98;01/04/25;"11:00:06";"SAIDA"
"145923";"CARNE BOV RSF KG AGULHA";0,736;01/04/25;"11:00:06";"SAIDA"
"145923";"CARNE BOV RSF KG AGULHA";0,822;01/04/25;"11:00:06";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,474;01/04/25;"11:00:06";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,474;01/04/25;"11:00:06";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,438;01/04/25;"11:00:06";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,478;01/04/25;"11:00:06";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,456;01/04/25;"11:00:06";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,478;01/04/25;"11:00:06";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,45;01/04/25;"11:00:06";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,402;01/04/25;"11:00:06";"SAIDA"
"145923";"CARNE BOV RSF KG AGULHA";0,57;01/04/25;"11:00:45";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,55;01/04/25;"11:01:57";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,464;01/04/25;"11:02:05";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,44;01/04/25;"11:02:05";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,494;01/04/25;"11:02:05";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,48;01/04/25;"11:02:05";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,444;01/04/25;"11:02:21";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,528;01/04/25;"11:02:54";"SAIDA"
"145923";"CARNE BOV RSF KG AGULHA";0,908;01/04/25;"11:02:54";"SAIDA"
"145923";"CARNE BOV RSF KG AGULHA";1,136;01/04/25;"11:02:54";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,594;01/04/25;"11:03:23";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,472;01/04/25;"11:04:46";"SAIDA"
"145909";"CARNE BOV RSF KG BIFE COX DENTRO";1,27;01/04/25;"11:04:46";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,53;01/04/25;"11:07:31";"SAIDA"
"145919";"CARNE BOV RSF KG PEITO";0,544;01/04/25;"11:08:01";"SAIDA"
"145886";"CARNE BOV RSF KG MOIDA PRIMEIRA";0,364;01/04/25;"11:08:01";"SAIDA"
"145886";"CARNE BOV RSF KG MOIDA PRIMEIRA";0,33;01/04/25;"11:08:01";"SAIDA"
"145923";"CARNE BOV RSF KG AGULHA";0,626;01/04/25;"11:08:02";"SAIDA"
"145923";"CARNE BOV RSF KG AGULHA";0,532;01/04/25;"11:08:02";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,444;01/04/25;"11:08:52";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,464;01/04/25;"11:08:52";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,512;01/04/25;"11:08:52";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,436;01/04/25;"11:08:52";"SAIDA"
"145916";"CARNE BOV RSF KG PALETA";0,818;01/04/25;"11:09:08";"SAIDA"
"145916";"CARNE BOV RSF KG PALETA";0,812;01/04/25;"11:09:09";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,496;01/04/25;"11:09:18";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,494;01/04/25;"11:09:18";"SAIDA"
"145916";"CARNE BOV RSF KG PALETA";0,732;01/04/25;"11:10:07";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,492;01/04/25;"11:10:07";"SAIDA"
